period_id, item, qty, order_qty1, order_qty2, order_qty3
1213,item1536,0.0908,0.0481,0.0012,0.0005
1214,item1536,0.0572,0.0465,0.0043,0.0008
1215,item1536,0.0466,0.0437,0.0907,0.0077
1216,item1536,0.0938,0.0933,0.0077,0.0
1217,item1536,0.1486,0.0139,0.0554,0.0
1218,item1536,0.1122,0.0928,0.0,0.005
1219,item1536,0.2328,0.219,0.0893,0.0803
1220,item1536,0.1313,0.0951,0.0803,0.0
1221,item1536,0.2803,0.2015,0.0023,0.0
1222,item1536,0.0577,0.0505,0.025,0.01
1223,item1536,0.0778,0.0628,0.01,0.0
1224,item1536,0.1149,0.0507,0.0413,0.0
1225,item1536,0.1166,0.0917,0.0069,0.0089
1226,item1536,0.4023,0.3815,0.0437,0.0005
1227,item1536,0.1547,0.1091,0.0069,0.0186
1228,item1536,0.111,0.0998,0.0205,0.0081
1229,item1536,0.2083,0.141,0.0121,0.0024
1230,item1536,0.2608,0.132,0.0024,0.0275
1231,item1536,0.1894,0.0736,0.0628,0.0596
1232,item1536,0.2379,0.1457,0.0707,0.0215
1233,item1536,0.4086,0.2224,0.0263,0.1137
1234,item1536,0.1681,0.0842,0.1302,0.1088
1235,item1536,0.2849,0.1915,0.1162,0.0052
1236,item1536,0.5121,0.4068,0.0158,0.0016
1237,item1536,0.2604,0.2093,0.0518,0.0223
1238,item1536,0.2452,0.1359,0.0265,0.0118
1239,item1536,0.2893,0.1122,0.0155,0.0119
1240,item1536,0.5715,0.5272,0.0516,0.0398
1241,item1536,0.2303,0.1242,0.084,0.0092
1242,item1536,0.4413,0.3632,0.0513,0.0015
1243,item1536,0.3253,0.2638,0.1279,0.0344
1244,item1536,0.3738,0.2394,0.0475,0.003
1245,item1536,0.34,0.2198,0.0178,0.0938
1246,item1536,0.2891,0.1416,0.1155,0.0078
1247,item1536,0.7352,0.4061,0.1662,0.0057
1248,item1536,1.0,0.6326,0.0065,0.0
1249,item1536,0.2457,0.1722,0.0521,0.0055
1250,item1536,0.1063,0.0959,0.0691,0.0163
1251,item1536,0.3769,0.1423,0.037,0.0233
1252,item1536,0.1469,0.0844,0.0677,0.0254
1253,item1536,0.4466,0.2306,0.0869,0.0143
1254,item1536,0.9196,0.6789,0.0395,0.0382
1255,item1536,0.2864,0.2002,0.0707,0.0693
1256,item1536,0.2683,0.1585,0.0882,0.008
1257,item1536,0.4014,0.257,0.0238,0.1233
1258,item1536,0.2978,0.2328,0.1822,0.0593
1259,item1536,0.3317,0.3317,0.1004,0.0116
