period_id, item, qty, order_qty1, order_qty2, order_qty3
1213,item1777,0.3679,0.3656,0.0,0.0
1214,item1777,0.3681,0.2791,0.0,0.0
1215,item1777,1.0,0.0328,0.0,0.0
1216,item1777,0.0594,0.0054,0.0,0.0
1217,item1777,0.4003,0.1453,0.0,0.0
1218,item1777,0.4144,0.3955,0.0738,0.0
1219,item1777,0.7999,0.2339,0.0,0.0
1220,item1777,0.2168,0.0274,0.0,0.0
1221,item1777,0.2363,0.1954,0.0,0.0
1222,item1777,0.7652,0.275,0.0,0.0
1223,item1777,0.3378,0.2357,0.0,0.0
1224,item1777,0.3526,0.3526,0.0135,0.0
1225,item1777,0.2842,0.174,0.0002,0.0
1226,item1777,0.5084,0.1684,0.0036,0.0
1227,item1777,0.28,0.1423,0.0324,0.0
1228,item1777,0.1259,0.081,0.0,0.0
1229,item1777,0.0405,0.0004,0.0009,0.0
1230,item1777,0.3258,0.2503,0.0,0.0
1231,item1777,0.2417,0.1803,0.0279,0.0
1232,item1777,0.1003,0.0378,0.0,0.0
1233,item1777,0.0501,0.0247,0.0,0.0
1234,item1777,0.1088,0.0706,0.0,0.0
1235,item1777,0.1048,0.0229,0.0,0.0034
1236,item1777,0.2878,0.1466,0.0034,0.0
1237,item1777,0.141,0.1059,0.0,0.0
1238,item1777,0.2696,0.1687,0.0292,0.0
1239,item1777,0.1464,0.063,0.0,0.0
1240,item1777,0.0944,0.0513,0.0,0.0
1241,item1777,0.4356,0.0218,0.0,0.0
1242,item1777,0.0816,0.0412,0.0,0.0
1243,item1777,0.5064,0.2352,0.0,0.0
1244,item1777,0.2469,0.1633,0.0,0.0
1245,item1777,0.1277,0.0396,0.0,0.0
1246,item1777,0.0549,0.0441,0.0,0.0
1247,item1777,0.0805,0.0328,0.0,0.0
1248,item1777,0.1124,0.0261,0.0,0.0
1249,item1777,0.2082,0.0814,0.0,0.0
1250,item1777,0.0405,0.02,0.0,0.0
1251,item1777,0.2339,0.2177,0.0,0.0
1252,item1777,0.1444,0.1039,0.0,0.0
1253,item1777,0.1711,0.0157,0.0,0.0
1254,item1777,0.0549,0.0304,0.0031,0.0
1255,item1777,0.2022,0.1095,0.0,0.0
1256,item1777,0.2487,0.0144,0.0126,0.0
1257,item1777,0.2775,0.1763,0.0,0.0
1258,item1777,0.0497,0.0373,0.0,0.0
1259,item1777,0.1327,0.1327,0.0,0.0
