Past M0,MSE,ACC
0,0.018835773691534996,0.7182581349684948
1,0.01797262579202652,0.68780702496783
2,0.017774038016796112,0.6929386707700054
3,0.018887750804424286,0.69413241858657
4,0.017205089330673218,0.6874855895369641
5,0.016912154853343964,0.6893646497167042
6,0.018301159143447876,0.6894255497752418
7,0.016423441469669342,0.6795473862952047
8,0.01706722006201744,0.72764887984388
9,0.016402993351221085,0.7357699915681838
10,0.015784278512001038,0.7265139837898303
11,0.015457883477210999,0.6621293600635445
12,0.01693478412926197,0.723900394639793
13,0.015011674724519253,0.7290969423641344
14,0.014632933773100376,0.7163496246734927
15,0.013852877542376518,0.6370775339563438
16,0.014505469240248203,0.7043804612459639
17,0.014377730898559093,0.6340626691476529
18,0.013589688576757908,0.6141262116876309
19,0.01300580333918333,0.6878337318338823
20,0.012811015360057354,0.7134313068157411
21,0.0127631314098835,0.7003029460325347
22,0.011967402882874012,0.5806869901007584
23,0.011602398008108139,0.5636783662619866
24,0.011405480094254017,0.558176584870603
25,0.011734725907444954,0.6628816765130865
