Past M0,MSE,ACC
0,0.01844964735209942,0.6905734128779832
1,0.015086627565324306,0.583870575575192
2,0.012664292939007282,0.4682936446684927
3,0.01633155159652233,0.6912117654017222
4,0.01642114855349064,0.6862456392109876
5,0.018295183777809143,0.7286806577060002
6,0.016631294041872025,0.7338166125668959
7,0.016162212938070297,0.6961505976738889
8,0.015603102743625641,0.688481533243791
9,0.017128687351942062,0.6873869106512921
10,0.015382888726890087,0.7288838707837527
11,0.014678440988063812,0.6787818147800978
12,0.014765010215342045,0.6739445821022284
13,0.014067571610212326,0.6604676364861614
14,0.014866632409393787,0.7236180498361174
15,0.01397683471441269,0.6477738447962283
16,0.013873010873794556,0.6429338369438309
17,0.013761745765805244,0.7296564767696148
18,0.01485201995819807,0.620103697064461
19,0.01273301150649786,0.6171598083235658
