Past M0,MSE,ACC
0,0.018480168655514717,0.6865731940329662
1,0.01522227842360735,0.5771575758124818
2,0.012735631316900253,0.4541654675287844
3,0.016931625083088875,0.7227893011669295
4,0.016938112676143646,0.6831407162829503
5,0.01711459457874298,0.6901893896134973
6,0.016675500199198723,0.6800400641629049
7,0.01613403484225273,0.6855390953258781
8,0.016207976266741753,0.7317416729744809
9,0.015581583604216576,0.6817809215659073
10,0.016422715038061142,0.7266801932033503
11,0.01496256422251463,0.7314199138720517
12,0.016350096091628075,0.6960207860546084
13,0.016012150794267654,0.7174313415797307
14,0.014444599859416485,0.7335091556476209
15,0.01400795578956604,0.73197823075204
16,0.013557255268096924,0.6384152790225673
17,0.013344104401767254,0.7325585639405668
18,0.013528275303542614,0.615699578145227
19,0.015478302724659443,0.6099244904405844
20,0.013642402365803719,0.6025254160183984
21,0.01537811104208231,0.5662954178608107
22,0.011638954281806946,0.7100345200429696
23,0.011293342337012291,0.5733222901534692
24,0.011023108847439289,0.56194483451744
25,0.011464416049420834,0.6930611594876009
26,0.01026783138513565,0.7200486365562607
27,0.010200186632573605,0.7030840102728303
28,0.010916536673903465,0.49624493041879525
29,0.009546264074742794,0.6468082755381976
30,0.010343690402805805,0.5884619642484528
