Past M0,MSE,ACC
0,0.055731456726789474,0.5629531941735287
1,0.04302370175719261,0.4785342927157283
2,0.03494742885231972,0.5951919882444134
3,0.04857289046049118,0.6097288552171747
4,0.049206096678972244,0.5803462491375961
5,0.04587160795927048,0.6145261682230614
6,0.04611702635884285,0.6155285634475138
7,0.04560888186097145,0.6063223513223945
8,0.044643063098192215,0.5801918582646687
9,0.04613180458545685,0.6168072536089254
10,0.04323819279670715,0.5787053436743991
11,0.04303345829248428,0.5714912202493654
12,0.039866283535957336,0.6234324510137266
13,0.03916873782873154,0.5662683127261499
14,0.03822512924671173,0.6143921540462108
15,0.03811980038881302,0.6129993530205121
16,0.03532594442367554,0.537261073010585
17,0.03586553409695625,0.5325703895739101
18,0.03490619361400604,0.5276388894640667
19,0.03645221143960953,0.615257697667556
20,0.033581070601940155,0.5028282464092444
21,0.03457091748714447,0.472777665994837
22,0.03409086540341377,0.6115210887960456
23,0.030165838077664375,0.48956720923283886
24,0.030582059174776077,0.5277341972309955
25,0.030786702409386635,0.42065903155301576
26,0.02778927981853485,0.4306558346241211
27,0.027007685974240303,0.43667635859677645
28,0.027872856706380844,0.3859237818973332
29,0.026060422882437706,0.40014890726926344
30,0.02631896547973156,0.5602260646879075
