Past M0,MSE,ACC
0,0.01843119226396084,0.710438728984101
1,0.01815969869494438,0.6933836725425907
2,0.01744268275797367,0.6946974047946305
3,0.017814211547374725,0.6912208126530818
4,0.017716147005558014,0.6854401664279155
5,0.01719162054359913,0.7258650365040512
6,0.016460228711366653,0.6774065853996595
7,0.016598815098404884,0.6844806654693186
8,0.01644132472574711,0.6779725397374051
9,0.01577184721827507,0.6755581941825303
10,0.016484828665852547,0.7250519181328138
11,0.016097720712423325,0.7181271002129358
12,0.015284174121916294,0.7325063295980366
13,0.014336854219436646,0.7327786913299731
14,0.016769180074334145,0.7088976263319382
15,0.013810808770358562,0.6458899584722814
16,0.013663926161825657,0.6411946421196497
17,0.013293830677866936,0.7206442467637899
18,0.012993520125746727,0.6959368607275389
19,0.012697070837020874,0.6041034994409213
20,0.013307780958712101,0.6043931452206306
21,0.01409365888684988,0.589746817826257
22,0.012400305829942226,0.5892380127978143
23,0.013500160537660122,0.5595993675853094
24,0.010925494134426117,0.727005431078002
25,0.010804270394146442,0.54891069699282
26,0.01040316466242075,0.7109325060286081
27,0.01102076843380928,0.6248817198560698
28,0.009349117055535316,0.4999614831800148
29,0.009840029291808605,0.5529737236421499
30,0.011480872519314289,0.41182459041821634
