Past M0,MSE,ACC
0,0.0676136165857315,0.5283652603554184
1,0.06582870334386826,0.5322177300770625
2,0.06243722885847092,0.5359067607100124
3,0.06061472371220589,0.5427660904208312
4,0.0621316134929657,0.5621819292372868
5,0.05819344148039818,0.5404180624348067
6,0.059174828231334686,0.5398185441839147
7,0.058277469128370285,0.571538420807261
8,0.05703410133719444,0.5694202196083302
9,0.0552850104868412,0.535647212742755
10,0.0557551346719265,0.5331541790886198
11,0.05398229882121086,0.5728010589608964
12,0.05332575738430023,0.5710712704086953
13,0.04925704002380371,0.5246518885746845
14,0.04913752153515816,0.5063070891173128
15,0.047812797129154205,0.5757921735039991
16,0.04811638966202736,0.5014281050241644
17,0.047349996864795685,0.564459930557736
18,0.045096032321453094,0.4756125600550043
19,0.04450100660324097,0.5644296335033789
20,0.04453466832637787,0.45871663534101015
21,0.044827815145254135,0.5237699248898418
22,0.04159838706254959,0.5568271363293584
23,0.04104054719209671,0.44881504130600963
24,0.040070950984954834,0.3036146718610595
25,0.03679981082677841,0.4115665633389385
26,0.035891175270080566,0.507347491501589
27,0.036077190190553665,0.4026875878736347
28,0.033388957381248474,0.3323622973717322
29,0.03255172073841095,0.4771741207538648
30,0.030955802649259567,0.37003076982900673
