Past M0,MSE,ACC
0,0.01851416938006878,0.6908261723555262
1,0.01670866832137108,0.6990205283984265
2,0.01723969727754593,0.6984299662204337
3,0.017301183193922043,0.7007742311933481
4,0.016557330265641212,0.6934759769398223
5,0.016063757240772247,0.6903973770141179
6,0.016017399728298187,0.6928199770570994
7,0.01612013578414917,0.7287846207905203
8,0.015781082212924957,0.7244008071337898
9,0.01783272810280323,0.6875512236595094
10,0.015996869653463364,0.7313350336450685
11,0.015447965823113918,0.7381440723622479
12,0.014186080545186996,0.7357582323405618
13,0.015228095464408398,0.7198387875257066
14,0.014524564146995544,0.7359853815778375
15,0.014300278387963772,0.7286059710243599
16,0.013721631839871407,0.6366801825946041
17,0.013559537939727306,0.7255194865888018
18,0.012892691418528557,0.626288908160036
19,0.015177509747445583,0.7175533571542171
20,0.012612228281795979,0.6058442824814009
21,0.011998641304671764,0.7287018451891736
22,0.012408521957695484,0.5901173063953725
23,0.012334246188402176,0.7275984719999579
24,0.011217261664569378,0.5616080624055793
25,0.010476921685039997,0.5533244406239924
26,0.010386129841208458,0.5378474008125912
27,0.010264762677252293,0.7153714378682691
28,0.010315067134797573,0.5067571822294072
29,0.009180217050015926,0.7257949438942247
30,0.009372139349579811,0.4802020260558756
