Past M0,MSE,ACC
0,0.06688640266656876,0.5343217996150084
1,0.06260165572166443,0.5565371478491923
2,0.06073125824332237,0.545384273924259
3,0.062379177659749985,0.5408097692146231
4,0.058240748941898346,0.5490247842808222
5,0.0596700981259346,0.5638727597539421
6,0.05905330553650856,0.54115202951718
7,0.058110542595386505,0.5430879103354728
8,0.056746430695056915,0.5352310972534859
9,0.06045754626393318,0.5343018824638459
10,0.056084148585796356,0.529328954742594
11,0.05398290604352951,0.5664808012190609
12,0.052449412643909454,0.5722853892840363
13,0.0494399331510067,0.5216038525040966
14,0.04861223325133324,0.5206358951158373
15,0.04969864711165428,0.5092292292213851
16,0.04981827363371849,0.567328611638867
17,0.04791843891143799,0.49583649782371814
18,0.045358944684267044,0.4946858248755306
19,0.044010430574417114,0.5766795088347655
20,0.04481924697756767,0.4774566647460452
21,0.04435222968459129,0.5798652352294661
22,0.04181927815079689,0.4685755381023945
23,0.041000839322805405,0.4622542085813983
24,0.03930211439728737,0.5790648287266462
25,0.03858174756169319,0.43504570369296747
26,0.03531186655163765,0.4298623877853599
27,0.0355365052819252,0.41643521833779795
28,0.03410341590642929,0.574121803803115
29,0.035031795501708984,0.3922219204845206
30,0.03295858949422836,0.3863569543180543
